,Jurisdiction of Occurrence,MMWR Year,All Cause,Natural Cause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",Population
385,South Carolina,2021,64033.0,57713.0,747.0,10376.0,1739.0,2404.0,434.0,2830.0,851.0,872.0,156.0,11925.0,3009.0,9402.0,8716.0,5167731.0
386,South Carolina,2022,43370.0,39244.0,628.0,7645.0,1237.0,1740.0,329.0,1991.0,669.0,653.0,828.0,8382.0,2174.0,3973.0,3002.0,5259222.0
387,South Dakota,2014,7789.0,7106.0,0.0,1733.0,0.0,233.0,0.0,212.0,0.0,0.0,0.0,1787.0,248.0,0.0,0.0,849129.0
388,South Dakota,2015,7865.0,7122.0,0.0,1651.0,34.0,208.0,47.0,338.0,0.0,0.0,0.0,1729.0,181.0,0.0,0.0,853988.0
389,South Dakota,2016,7886.0,7160.0,0.0,1708.0,0.0,195.0,0.0,223.0,0.0,0.0,0.0,1743.0,193.0,0.0,0.0,862996.0
390,South Dakota,2017,8110.0,7311.0,0.0,1727.0,45.0,206.0,22.0,348.0,0.0,0.0,0.0,1734.0,215.0,0.0,0.0,872868.0
391,South Dakota,2018,8083.0,7382.0,0.0,1646.0,44.0,210.0,12.0,319.0,0.0,0.0,0.0,1797.0,120.0,0.0,0.0,878698.0
392,South Dakota,2019,8371.0,7605.0,0.0,1738.0,30.0,323.0,21.0,334.0,0.0,0.0,0.0,1848.0,131.0,0.0,0.0,884659.0
393,South Dakota,2020,10263.0,9400.0,0.0,1804.0,84.0,329.0,0.0,214.0,0.0,0.0,0.0,1847.0,192.0,1668.0,1543.0,886667.0
394,South Dakota,2021,9370.0,8476.0,0.0,1740.0,55.0,179.0,0.0,294.0,0.0,0.0,0.0,1697.0,132.0,874.0,744.0,893916.0
